competition,season,team,player_name,status,primary_role,batting_role,bowling_role,matches_played,batting_innings,runs,balls_faced,fours,sixes,dismissals,batting_strike_rate,batting_average,bowling_innings,balls_bowled,runs_conceded,wickets,bowling_economy,bowling_strike_rate,dot_balls,notes,source_note
IPL,2026,Lucknow Super Giants,Mohsin Khan,Verified from Kaggle 2026 delivery data,Bowler,,,7,2,0,4,0,0,2,0.0,0.0,7,168,228,11,8.14,15.27,4,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Mukul Choudhary,Verified from Kaggle 2026 delivery data,Batter,,,10,10,170,120,11,12,6,141.67,28.33,0,0,0,0,,,48,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Naman Tiwari,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Nicholas Pooran,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,14,15,234,184,11,19,14,127.17,16.71,0,0,0,0,,,86,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Prince Yadav,Verified from Kaggle 2026 delivery data,Bowler,,,14,1,0,1,0,0,0,0.0,,15,312,461,19,8.87,16.42,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Rishabh Pant,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,13,14,313,228,30,11,9,137.28,34.78,0,0,0,0,,,78,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Shahbaz Ahmed,Verified from Kaggle 2026 delivery data,All Rounder,,,5,2,58,41,4,3,0,141.46,,5,67,129,5,11.55,13.4,12,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Wanindu Hasaranga,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,AM Ghazanfar,Verified from Kaggle 2026 delivery data,Bowler,,,11,1,2,3,0,0,0,66.67,,11,233,387,15,9.97,15.53,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Ashwani Kumar,Verified from Kaggle 2026 delivery data,Bowler,,,3,1,1,6,0,0,0,16.67,,3,60,102,6,10.2,10.0,5,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Atharva Ankolekar,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Corbin Bosch,Verified from Kaggle 2026 delivery data,All Rounder,,,6,4,50,31,5,2,1,161.29,50.0,6,121,195,13,9.67,9.31,10,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Danish Malewar,Verified from Kaggle 2026 delivery data,Batter,,,2,2,2,5,0,0,2,40.0,1.0,0,0,0,0,,,3,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Deepak Chahar,Verified from Kaggle 2026 delivery data,Bowler,,,8,4,25,19,3,1,2,131.58,12.5,8,153,265,8,10.39,19.12,10,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Hardik Pandya,Verified from Kaggle 2026 delivery data,All Rounder,,,10,10,206,149,21,7,9,138.26,22.89,9,136,257,4,11.34,34.0,50,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Jasprit Bumrah,Verified from Kaggle 2026 delivery data,Bowler,,,13,2,7,7,1,0,1,100.0,7.0,13,294,408,5,8.33,58.8,3,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Mayank Markande,Verified from Kaggle 2026 delivery data,Bowler,,,3,0,0,0,0,0,0,,,3,30,76,0,15.2,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Mayank Rawat,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Mitchell Santner,Verified from Kaggle 2026 delivery data,All Rounder,,,4,2,26,19,3,0,0,136.84,,4,84,125,5,8.93,16.8,3,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Mohd Izhar,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Naman Dhir,Verified from Kaggle 2026 delivery data,All Rounder,,,14,14,318,216,31,13,12,147.22,26.5,0,0,0,0,,,68,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Quinton de Kock,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,3,3,132,81,9,9,2,162.96,66.0,0,0,0,0,,,26,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Raghu Sharma,Verified from Kaggle 2026 delivery data,Bowler,,,5,0,0,0,0,0,0,,,5,90,130,1,8.67,90.0,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Raj Bawa,Verified from Kaggle 2026 delivery data,All Rounder,,,2,1,16,14,1,0,1,114.29,16.0,2,24,47,2,11.75,12.0,6,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Robin Minz,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,2,2,6,4,1,0,1,150.0,6.0,0,0,0,0,,,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Rohit Sharma,Verified from Kaggle 2026 delivery data,Batter,,,9,9,283,180,21,21,9,157.22,31.44,0,0,0,0,,,71,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Ryan Rickelton,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,12,12,448,240,31,38,11,186.67,40.73,0,0,0,0,,,84,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Shardul Thakur,Verified from Kaggle 2026 delivery data,All Rounder,,,7,3,24,30,2,0,2,80.0,12.0,7,132,269,12,12.23,11.0,13,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Sherfane Rutherford,Verified from Kaggle 2026 delivery data,Batter,,,7,7,123,75,5,12,5,164.0,24.6,0,0,0,0,,,29,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Suryakumar Yadav,Verified from Kaggle 2026 delivery data,Batter,,,13,13,270,183,28,10,13,147.54,20.77,0,0,0,0,,,59,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Tilak Varma,Verified from Kaggle 2026 delivery data,Batter,,,14,14,359,246,30,17,12,145.93,29.92,0,0,0,0,,,78,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Trent Boult,Verified from Kaggle 2026 delivery data,Bowler,,,5,2,8,4,0,1,1,200.0,8.0,5,97,187,2,11.57,48.5,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Mumbai Indians,Will Jacks,Verified from Kaggle 2026 delivery data,All Rounder,,,7,7,139,76,12,9,5,182.89,27.8,6,53,94,2,10.64,26.5,22,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Arshdeep Singh,Verified from Kaggle 2026 delivery data,Bowler,,,14,1,1,1,0,0,0,100.0,,14,318,535,14,10.09,22.71,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Azmatullah Omarzai,Verified from Kaggle 2026 delivery data,All Rounder,,,3,2,52,27,3,5,2,192.59,26.0,3,66,103,3,9.36,22.0,10,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Ben Dwarshuis,Verified from Kaggle 2026 delivery data,Bowler,,,1,0,0,0,0,0,0,,,1,24,48,2,12.0,12.0,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Cooper Connolly,Verified from Kaggle 2026 delivery data,All Rounder,,,13,13,491,301,43,32,11,163.12,44.64,0,0,0,0,,,109,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Harnoor Singh,Verified from Kaggle 2026 delivery data,Batter,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Harpreet Brar,Verified from Kaggle 2026 delivery data,Bowler,,,2,1,5,3,1,0,0,166.67,,2,48,60,2,7.5,24.0,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Lockie Ferguson,Verified from Kaggle 2026 delivery data,Bowler,,,3,0,0,0,0,0,0,,,3,66,141,1,12.82,66.0,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Marco Jansen,Verified from Kaggle 2026 delivery data,All Rounder,,,12,5,51,45,1,3,4,113.33,12.75,12,284,479,9,10.12,31.56,16,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Marcus Stoinis,Verified from Kaggle 2026 delivery data,All Rounder,,,9,9,216,120,23,11,6,180.0,36.0,4,47,98,2,12.51,23.5,34,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Mitchell Owen,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Musheer Khan,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Nehal Wadhera,Verified from Kaggle 2026 delivery data,Batter,,,6,6,65,57,4,4,6,114.04,10.83,0,0,0,0,,,25,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Prabhsimran Singh,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,13,13,510,302,55,23,12,168.87,42.5,0,0,0,0,,,91,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Praveen Dubey,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Priyansh Arya,Verified from Kaggle 2026 delivery data,Batter,,,13,13,364,172,27,32,13,211.63,28.0,0,0,0,0,,,57,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Pyla Avinash,Verified from Kaggle 2026 delivery data,Batter,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Shashank Singh,Verified from Kaggle 2026 delivery data,All Rounder,,,9,9,132,70,11,8,6,188.57,22.0,4,60,88,4,8.8,15.0,16,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Shreyas Iyer,Verified from Kaggle 2026 delivery data,Batter,,,13,13,498,294,39,30,9,169.39,55.33,0,0,0,0,,,78,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Suryansh Shedge,Verified from Kaggle 2026 delivery data,All Rounder,,,7,7,158,90,9,12,4,175.56,39.5,0,0,0,0,,,25,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Vijaykumar Vyshak,Verified from Kaggle 2026 delivery data,Bowler,,,9,2,2,4,0,0,0,50.0,,9,186,330,10,10.65,18.6,2,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Vishal Nishad,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Vishnu Vinod,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,1,1,15,8,1,1,0,187.5,,0,0,0,0,,,2,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Xavier Bartlett,Verified from Kaggle 2026 delivery data,Bowler,,,9,3,29,13,2,2,1,223.08,29.0,9,201,384,5,11.46,40.2,3,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Yash Thakur,Verified from Kaggle 2026 delivery data,Bowler,,,1,0,0,0,0,0,0,,,1,24,51,2,12.75,12.0,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Punjab Kings,Yuzvendra Chahal,Verified from Kaggle 2026 delivery data,Bowler,,,12,0,0,0,0,0,0,,,12,246,383,13,9.34,18.92,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Adam Milne,Verified from Kaggle 2026 delivery data,Bowler,,,1,1,2,2,0,0,0,100.0,,1,20,40,0,12.0,,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Aman Rao,Verified from Kaggle 2026 delivery data,Batter,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Brijesh Sharma,Verified from Kaggle 2026 delivery data,Bowler,,,13,2,2,4,0,0,0,50.0,,13,273,449,14,9.87,19.5,2,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Dasun Shanaka,Verified from Kaggle 2026 delivery data,All Rounder,,,5,5,63,46,3,4,4,136.96,15.75,3,36,60,1,10.0,36.0,18,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Dhruv Jurel,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,16,16,514,332,47,24,14,154.82,36.71,0,0,0,0,,,101,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Donovan Ferreira,Verified from Kaggle 2026 delivery data,All Rounder,,,13,13,317,177,26,23,9,179.1,35.22,3,18,41,1,13.67,18.0,64,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Jofra Archer,Verified from Kaggle 2026 delivery data,Bowler,,,16,10,64,47,4,4,5,136.17,12.8,16,360,546,29,9.1,12.41,19,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Kuldeep Sen,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Kwena Maphaka,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Lhuan-dre Pretorius,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,2,2,7,8,0,0,1,87.5,7.0,0,0,0,0,,,3,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Nandre Burger,Verified from Kaggle 2026 delivery data,Bowler,,,13,3,14,9,0,1,1,155.56,14.0,13,261,425,14,9.77,18.64,2,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Ravi Bishnoi,Verified from Kaggle 2026 delivery data,Bowler,,,9,2,0,3,0,0,2,0.0,0.0,9,155,251,11,9.72,14.09,3,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Ravi Singh,Verified from Kaggle 2026 delivery data,Batter,,,1,1,4,2,1,0,1,200.0,4.0,0,0,0,0,,,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Ravindra Jadeja,Verified from Kaggle 2026 delivery data,All Rounder,,,12,11,266,197,24,5,4,135.03,66.5,12,197,276,10,8.41,19.7,56,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Riyan Parag,Verified from Kaggle 2026 delivery data,Batter,,,14,14,309,196,24,21,13,157.65,23.77,4,24,38,2,9.5,12.0,75,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Sam Curran,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Sandeep Sharma,Verified from Kaggle 2026 delivery data,Bowler,,,6,0,0,0,0,0,0,,,6,118,223,6,11.34,19.67,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Shimron Hetmyer,Verified from Kaggle 2026 delivery data,Batter,,,7,7,78,69,5,3,6,113.04,13.0,0,0,0,0,,,29,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Shubham Dubey,Verified from Kaggle 2026 delivery data,Batter,,,6,6,81,58,8,3,4,139.66,20.25,0,0,0,0,,,20,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Sushant Mishra,Verified from Kaggle 2026 delivery data,Bowler,,,2,1,1,3,0,0,0,33.33,,2,38,65,2,10.26,19.0,2,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Tushar Deshpande,Verified from Kaggle 2026 delivery data,Bowler,,,7,2,26,14,0,3,2,185.71,13.0,7,138,273,4,11.87,34.5,5,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Vaibhav Sooryavanshi,Verified from Kaggle 2026 delivery data,Batter,,,16,16,776,327,63,72,16,237.31,48.5,0,0,0,0,,,108,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Vignesh Puthur,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Yash Raj Punja,Verified from Kaggle 2026 delivery data,Bowler,,,8,0,0,0,0,0,0,,,8,180,280,9,9.33,20.0,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Yashasvi Jaiswal,Verified from Kaggle 2026 delivery data,Batter,,,16,16,426,279,52,18,14,152.69,30.43,0,0,0,0,,,111,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Rajasthan Royals,Yudhvir Singh,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Abhinandan Singh,Verified from Kaggle 2026 delivery data,Bowler,,,3,0,0,0,0,0,0,,,3,58,122,3,12.62,19.33,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Bhuvneshwar Kumar,Verified from Kaggle 2026 delivery data,Bowler,,,16,4,34,26,3,1,0,130.77,,16,378,500,29,7.94,13.03,10,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Devdutt Padikal,Verified from Kaggle 2026 delivery data,Batter,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Jacob Bethell,Verified from Kaggle 2026 delivery data,All Rounder,,,7,7,96,77,12,3,7,124.68,13.71,0,0,0,0,,,33,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Jacob Duffy,Verified from Kaggle 2026 delivery data,Bowler,,,6,0,0,0,0,0,0,,,6,145,263,11,10.88,13.18,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Jitesh Sharma,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,12,12,117,96,9,6,9,121.88,13.0,0,0,0,0,,,43,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Jordan Cox,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Josh Hazlewood,Verified from Kaggle 2026 delivery data,Bowler,,,13,1,0,1,0,0,1,0.0,0.0,13,309,493,15,9.57,20.6,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Kanishk Chouhan,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Krunal Pandya,Verified from Kaggle 2026 delivery data,All Rounder,,,15,9,226,155,20,11,5,145.81,45.2,15,304,426,15,8.41,20.27,53,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Mangesh Yadav,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Nuwan Thushara,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Phil Salt,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,6,6,202,120,16,11,6,168.33,33.67,0,0,0,0,,,38,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Rajat Patidar,Verified from Kaggle 2026 delivery data,Batter,,,14,14,500,259,30,42,12,193.05,41.67,0,0,0,0,,,68,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Rasikh Salam,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Romario Shepherd,Verified from Kaggle 2026 delivery data,All Rounder,,,13,7,83,66,6,5,4,125.76,20.75,13,150,298,7,11.92,21.43,27,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Satvik Deswal,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Suyash Sharma,Verified from Kaggle 2026 delivery data,Bowler,,,12,0,0,0,0,0,0,,,12,245,376,9,9.21,27.22,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Swapnil Singh,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Tim David,Verified from Kaggle 2026 delivery data,Batter,,,15,15,305,162,22,23,9,188.27,33.89,1,6,18,0,18.0,,43,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Venkatesh Iyer,Verified from Kaggle 2026 delivery data,All Rounder,,,6,6,209,112,21,13,4,186.61,52.25,0,0,0,0,,,38,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Vicky Ostwal,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Vihaan Malhotra,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Virat Kohli,Verified from Kaggle 2026 delivery data,Batter,,,16,16,675,408,73,25,12,165.44,56.25,0,0,0,0,,,107,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Royal Challengers Bengaluru,Yash Dayal,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Abhishek Sharma,Verified from Kaggle 2026 delivery data,All Rounder,,,15,15,563,275,50,43,14,204.73,40.21,4,29,49,0,10.14,,89,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Amit Kumar,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Aniket Verma,Verified from Kaggle 2026 delivery data,Batter,,,8,8,79,54,6,5,5,146.3,15.8,0,0,0,0,,,20,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Brydon Carse,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,David Payne,Verified from Kaggle 2026 delivery data,Bowler,,,2,1,6,5,0,0,0,120.0,,2,30,70,2,14.0,15.0,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Eshan Malinga,Verified from Kaggle 2026 delivery data,Bowler,,,15,3,7,17,0,0,1,41.18,7.0,15,326,505,21,9.29,15.52,10,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Harsh Dubey,Verified from Kaggle 2026 delivery data,All Rounder,,,8,4,13,9,2,0,2,144.44,6.5,8,132,226,8,10.27,16.5,3,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Harshal Patel,Verified from Kaggle 2026 delivery data,All Rounder,,,5,3,10,9,2,0,2,111.11,5.0,5,84,148,1,10.57,84.0,5,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Heinrich Klaasen,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,15,15,624,390,48,31,13,160.0,48.0,0,0,0,0,,,105,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Ishan Kishan,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,15,15,604,331,60,32,14,182.48,43.14,0,0,0,0,,,87,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Jack Edwards,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Jaydev Unadkat,Verified from Kaggle 2026 delivery data,Bowler,,,4,1,4,3,0,0,0,133.33,,4,77,140,4,10.91,19.25,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Kamindu Mendis,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Krains Fuletra,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
